Market,Direction,Category,Scenario
Energy,Energy,Energy,Energy
RAISE6SEC,RAISE,Cont,RaiseCont
RAISE60SEC,RAISE,Cont,RaiseCont
RAISE5MIN,RAISE,Cont,RaiseCont
RAISEREG,RAISE,Reg,RaiseReg
LOWER6SEC,LOWER,Cont,LowerCont
LOWER60SEC,LOWER,Cont,LowerCont
LOWER5MIN,LOWER,Cont,LowerCont
LOWERREG,LOWER,Reg,LowerReg
